Title,Author,Rating,ISBN,Genre,Publisher,PublishDate
The Hunger Games,Suzanne Collins,4.33,9780439023481,"['Young Adult', 'Fiction', 'Dystopia', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Action']",Scholastic Press,09/14/08
Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPrÃ© (Illustrator)",4.5,9780439358071,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",Scholastic Inc.,09/28/04
To Kill a Mockingbird,Harper Lee,4.28,9999999999999,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical', 'Novels', 'Read For School', 'High School']",Harper Perennial Modern Classics,05/23/06
Pride and Prejudice,"Jane Austen, Anna Quindlen (Introduction)",4.26,9999999999999,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Novels', 'Historical Romance', 'Classic Literature', 'Adult']",Modern Library,10/10/00
Twilight,Stephenie Meyer,3.6,9780316015844,"['Young Adult', 'Fantasy', 'Romance', 'Vampires', 'Fiction', 'Paranormal', 'Paranormal Romance', 'Supernatural', 'Teen', 'Urban Fantasy']","Little, Brown and Company",09/06/06
The Book Thief,Markus Zusak (Goodreads Author),4.37,9780375831003,"['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'War', 'Holocaust', 'World War II', 'Books About Books', 'Audiobook']",Alfred A. Knopf,03/14/06
Animal Farm,"George Orwell, Russell Baker (Preface), C.M. Woodhouse (Introduction)",3.95,9780451526342,"['Classics', 'Fiction', 'Dystopia', 'Fantasy', 'Literature', 'Politics', 'School', 'Science Fiction', 'Novels', 'Read For School']",Signet Classics,04/28/96
The Chronicles of Narnia,"C.S. Lewis, Pauline Baynes (Illustrator)",4.26,9999999999999,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Christian', 'Adventure', 'Science Fiction Fantasy', 'Middle Grade', 'Christian Fiction']",HarperCollins,09/16/02
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.6,9780345538376,"['Fantasy', 'Fiction', 'Classics', 'Adventure', 'Science Fiction Fantasy', 'Epic Fantasy', 'High Fantasy', 'Young Adult', 'Literature', 'Magic']",Ballantine Books,09/25/12
Gone with the Wind,Margaret Mitchell,4.3,9780446675536,"['Classics', 'Historical Fiction', 'Fiction', 'Romance', 'Historical', 'War', 'Literature', 'Civil War', 'Historical Romance', 'Novels']",Warner Books,04/01/99
The Fault in Our Stars,John Green (Goodreads Author),4.21,9999999999999,"['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Teen', 'Coming Of Age', 'Drama', 'Novels', 'Love']",Dutton Books,01/10/12
The Hitchhiker's Guide to the Galaxy,Douglas Adams,4.22,9999999999999,"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Classics', 'Comedy', 'Science Fiction Fantasy', 'Audiobook', 'Adventure', 'Novels']",Del Rey,06/23/07
The Giving Tree,Shel Silverstein,4.37,9780060256654,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Young Adult', 'Fantasy', 'Juvenile', 'Kids', 'Short Stories']",HarperCollins Publishers,10/07/64
Wuthering Heights,"Emily BrontÃ«, Richard J. Dunn (Editor), David Timson (Narrator), Charlotte BrontÃ« (Commentary), Robert Heindel (Illustrator)",3.86,9780393978896,"['Classics', 'Fiction', 'Romance', 'Gothic', 'Literature', 'Historical Fiction', '19th Century', 'Novels', 'Classic Literature', 'Historical']",Norton,10/28/02
The Da Vinci Code,Dan Brown (Goodreads Author),3.86,9999999999999,"['Fiction', 'Mystery', 'Thriller', 'Suspense', 'Mystery Thriller', 'Historical Fiction', 'Adventure', 'Novels', 'Crime', 'Adult']",Anchor,03/28/06
Memoirs of a Geisha,Arthur Golden,4.12,9781400096893,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Classics', 'Japan', 'Adult', 'Novels', 'Asia', 'Adult Fiction']",Vintage Books USA,11/22/05
The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides (Introduction)",4.08,9999999999999,"['Classics', 'Fiction', 'Horror', 'Fantasy', 'Literature', 'Gothic', 'Novels', '19th Century', 'LGBT', 'Classic Literature']",Random House: Modern Library,06/01/04
Alice's Adventures in Wonderland & Through the Looking-Glass,"Lewis Carroll, John Tenniel (Illustrator), Martin Gardner (Introduction)",4.06,9780451527745,"['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Literature', 'Adventure', 'Novels', '19th Century', 'British Literature']",Penguin Group (USA),12/01/00
Jane Eyre,"Charlotte BrontÃ«, Michael Mason (Editor), Barnett Freedman (Illustrator)",4.13,9780142437209,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Gothic', 'Historical', '19th Century', 'School', 'Classic Literature']",Penguin,02/04/03
Les MisÃ©rables,"Victor Hugo, Lee Fahnestock (Translator), Norman MacAfee (Translator)",4.18,9999999999999,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'France', 'Historical', 'Novels', 'French Literature', 'Romance', 'Classic Literature']",Signet Classics,03/03/87
Fahrenheit 451,Ray Bradbury,3.99,B0064CPN7I,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'School', 'Literature', 'Novels', 'Fantasy', 'Adult', 'Science Fiction Fantasy']",Simon & Schuster,11/29/11
Divergent,Veronica Roth (Goodreads Author),4.19,9780062024039,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Action']",Katherine Tegen Books,02/28/12
Lord of the Flies,William Golding,3.69,9780140283334,"['Classics', 'Fiction', 'Young Adult', 'School', 'Literature', 'Dystopia', 'Read For School', 'Novels', 'High School', 'Adventure']",Penguin Books,10/01/99
Romeo and Juliet,"William Shakespeare, Paul Werstine (Editor), Barbara A. Mowat (Editor), Paavo Emil Cajander (Translator)",3.75,9780743477116,"['Classics', 'Plays', 'Fiction', 'Romance', 'School', 'Drama', 'Read For School', 'Literature', 'High School', 'Poetry']",Simon Schuster,01/01/04
The Alchemist,"Paulo Coelho (Goodreads Author), Alan R. Clarke (Translator), James Noel Smith (Illustrator)",3.88,9780062315007,"['Fiction', 'Classics', 'Fantasy', 'Philosophy', 'Novels', 'Spirituality', 'Literature', 'Self Help', 'Inspirational', 'Adventure']",HarperOne,04/15/14
Crime and Punishment,"Fyodor Dostoyevsky, David McDuff (Translator)",4.22,9780143058144,"['Classics', 'Fiction', 'Russia', 'Literature', 'Russian Literature', 'Novels', 'Philosophy', 'Crime', '19th Century', 'School']",Penguin,12/31/02
The Perks of Being a Wallflower,Stephen Chbosky,4.2,9999999999999,"['Young Adult', 'Fiction', 'Contemporary', 'Coming Of Age', 'Romance', 'Realistic Fiction', 'LGBT', 'Classics', 'Mental Health', 'Teen']",MTV Books/Pocket Books,02/28/99
The Great Gatsby,"F. Scott Fitzgerald, Francis Scott Fitzgerald",3.92,9999999999999,"['Classics', 'Fiction', 'School', 'Literature', 'Historical Fiction', 'Romance', 'Novels', 'Read For School', 'High School', 'American']",Scribner,09/28/04
City of Bones,Cassandra Clare (Goodreads Author),4.1,9781416914280,"['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Urban Fantasy', 'Fiction', 'Vampires', 'Supernatural', 'Angels', 'Magic']",Margaret K. McElderry Books,03/27/07
Ender's Game,"Orson Scott Card, Stefan Rudnicki (Narrator), Harlan Ellison (Narrator)",4.3,9780812550702,"['Science Fiction', 'Fiction', 'Young Adult', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Dystopia', 'War', 'Audiobook', 'Adventure']",Macmillan Audio,09/30/04
The Help,Kathryn Stockett (Goodreads Author),4.47,9999999999999,"['Fiction', 'Historical Fiction', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary', 'Audiobook', 'Classics', 'Chick Lit', 'Book Club']",Amy Einhorn Books/G.P. Putnam's Sons,02/10/09
Anne of Green Gables,L.M. Montgomery,4.26,9780451528827,"['Classics', 'Fiction', 'Young Adult', 'Childrens', 'Historical Fiction', 'Middle Grade', 'Historical', 'Audiobook', 'Canada', 'Coming Of Age']",Signet Book,05/06/03
Harry Potter and the Sorcerer's Stone,"J.K. Rowling, Mary GrandPrÃ© (Illustrator)",4.47,9999999999999,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Adventure', 'Classics', 'Audiobook', 'Science Fiction Fantasy']",Scholastic Inc,11/01/03
The Little Prince,"Antoine de Saint-ExupÃ©ry, Richard Howard (Translator), Ivan Minatti (Translator), Nguyá»…n ThÃ nh VÅ© (Illustrator)",4.31,9999999999999,"['Classics', 'Fiction', 'Fantasy', 'Childrens', 'France', 'Young Adult', 'Philosophy', 'Literature', 'French Literature', 'Middle Grade']","Harcourt, Inc.",06/29/00
